xIris,yIris,R,G,B
1,0,255,0,0
1,0,255,0,0
1,0,255,0,0
1,0,255,0,0
1,0,255,0,0
3,0,255,0,0
2,1,255,0,0
1,0,255,0,0
1,0,255,0,0
1,0,255,0,0
3,0,255,0,0
2,1,255,0,0
1,2,255,0,0
0,1,255,0,0
3,0,255,0,0
3,0,255,0,0
3,0,255,0,0
1,1,255,0,0
3,0,255,0,0
2,2,255,0,0
1,0,255,0,0
2,2,255,0,0
0,1,255,0,0
1,2,255,0,0
1,3,255,0,0
1,2,255,0,0
2,2,255,0,0
2,0,255,0,0
1,0,255,0,0
0,2,255,0,0
0,2,255,0,0
3,1,255,0,0
5,1,255,0,0
5,1,255,0,0
0,2,255,0,0
0,0,255,0,0
3,1,255,0,0
0,2,255,0,0
0,2,255,0,0
2,0,255,0,0
2,0,255,0,0
3,4,255,0,0
0,2,255,0,0
3,2,255,0,0
4,2,255,0,0
0,2,255,0,0
4,1,255,0,0
0,2,255,0,0
3,0,255,0,0
1,0,255,0,0
5,2,0,255,0
5,2,0,255,0
5,2,0,255,0
5,2,0,255,0
5,2,0,255,0
5,2,0,255,0
5,3,0,255,0
3,2,0,255,0
5,2,0,255,0
4,3,0,255,0
3,2,0,255,0
5,2,0,255,0
4,2,0,255,0
5,3,0,255,0
4,1,0,255,0
5,3,0,255,0
5,3,0,255,0
4,2,0,255,0
5,2,0,255,0
4,1,0,255,0
5,3,0,255,0
5,1,0,255,0
5,4,0,255,0
5,3,0,255,0
5,2,0,255,0
5,3,0,255,0
5,3,0,255,0
5,3,0,255,0
4,2,0,255,0
3,2,0,255,0
3,2,0,255,0
3,2,0,255,0
4,1,0,255,0
5,4,0,255,0
4,4,0,255,0
5,3,0,255,0
5,3,0,255,0
4,2,0,255,0
5,1,0,255,0
3,2,0,255,0
4,1,0,255,0
5,3,0,255,0
4,1,0,255,0
2,2,0,255,0
4,1,0,255,0
5,1,0,255,0
5,1,0,255,0
4,3,0,255,0
2,2,0,255,0
4,1,0,255,0
5,4,0,0,255
4,4,0,0,255
5,4,0,0,255
5,4,0,0,255
5,4,0,0,255
5,4,0,0,255
4,1,0,0,255
5,4,0,0,255
5,4,0,0,255
5,5,0,0,255
4,4,0,0,255
4,4,0,0,255
5,4,0,0,255
4,3,0,0,255
4,3,0,0,255
4,4,0,0,255
5,4,0,0,255
5,5,0,0,255
5,4,0,0,255
4,3,0,0,255
5,4,0,0,255
4,3,0,0,255
5,4,0,0,255
4,3,0,0,255
5,5,0,0,255
5,4,0,0,255
4,3,0,0,255
4,3,0,0,255
4,4,0,0,255
5,4,0,0,255
5,4,0,0,255
5,5,0,0,255
4,4,0,0,255
4,3,0,0,255
4,3,0,0,255
5,5,0,0,255
4,5,0,0,255
4,4,0,0,255
4,2,0,0,255
4,4,0,0,255
4,5,0,0,255
4,5,0,0,255
4,3,0,0,255
5,5,0,0,255
4,5,0,0,255
4,4,0,0,255
4,3,0,0,255
4,4,0,0,255
4,5,0,0,255
4,3,0,0,255
