xIris,yIris,R,G,B
0.808,-0.205,255.000,0.000,0.000
1.065,0.072,255.000,0.000,0.000
0.943,-0.125,255.000,0.000,0.000
0.884,-0.386,255.000,0.000,0.000
0.823,0.155,255.000,0.000,0.000
3.266,-0.188,255.000,0.000,0.000
1.855,0.655,255.000,0.000,0.000
0.668,0.358,255.000,0.000,0.000
0.703,-0.359,255.000,0.000,0.000
1.189,-0.177,255.000,0.000,0.000
2.768,0.232,255.000,0.000,0.000
1.914,0.751,255.000,0.000,0.000
0.651,2.376,255.000,0.000,0.000
0.147,1.229,255.000,0.000,0.000
2.976,-0.222,255.000,0.000,0.000
2.967,0.215,255.000,0.000,0.000
2.974,0.265,255.000,0.000,0.000
0.610,0.740,255.000,0.000,0.000
2.796,-0.137,255.000,0.000,0.000
1.822,1.625,255.000,0.000,0.000
1.169,0.068,255.000,0.000,0.000
2.272,2.395,255.000,0.000,0.000
-0.341,1.042,255.000,0.000,0.000
0.941,1.650,255.000,0.000,0.000
1.216,3.171,255.000,0.000,0.000
0.716,2.205,255.000,0.000,0.000
1.869,1.984,255.000,0.000,0.000
2.130,-0.244,255.000,0.000,0.000
1.103,-0.257,255.000,0.000,0.000
0.042,1.822,255.000,0.000,0.000
0.229,1.649,255.000,0.000,0.000
3.145,1.068,255.000,0.000,0.000
5.206,1.108,255.000,0.000,0.000
4.860,0.764,255.000,0.000,0.000
-0.276,1.692,255.000,0.000,0.000
0.306,0.118,255.000,0.000,0.000
2.679,1.001,255.000,0.000,0.000
0.209,1.738,255.000,0.000,0.000
-0.027,1.990,255.000,0.000,0.000
1.893,-0.177,255.000,0.000,0.000
1.669,0.230,255.000,0.000,0.000
3.368,3.864,255.000,0.000,0.000
0.366,2.364,255.000,0.000,0.000
2.953,1.636,255.000,0.000,0.000
3.793,2.308,255.000,0.000,0.000
-0.279,1.994,255.000,0.000,0.000
3.875,1.395,255.000,0.000,0.000
0.027,1.712,255.000,0.000,0.000
2.621,-0.183,255.000,0.000,0.000
1.107,0.094,255.000,0.000,0.000
5.235,2.144,0.000,255.000,0.000
4.911,1.919,0.000,255.000,0.000
5.038,1.667,0.000,255.000,0.000
5.160,1.630,0.000,255.000,0.000
4.835,2.359,0.000,255.000,0.000
5.196,1.852,0.000,255.000,0.000
5.320,2.791,0.000,255.000,0.000
3.291,2.037,0.000,255.000,0.000
4.909,1.651,0.000,255.000,0.000
3.918,2.691,0.000,255.000,0.000
3.122,2.289,0.000,255.000,0.000
4.808,1.798,0.000,255.000,0.000
4.007,1.832,0.000,255.000,0.000
5.058,3.312,0.000,255.000,0.000
3.694,1.253,0.000,255.000,0.000
4.813,2.886,0.000,255.000,0.000
5.164,2.918,0.000,255.000,0.000
3.851,1.700,0.000,255.000,0.000
4.812,1.763,0.000,255.000,0.000
4.003,1.157,0.000,255.000,0.000
5.088,3.309,0.000,255.000,0.000
5.223,1.312,0.000,255.000,0.000
5.309,3.997,0.000,255.000,0.000
5.344,3.108,0.000,255.000,0.000
4.819,2.351,0.000,255.000,0.000
5.116,3.198,0.000,255.000,0.000
4.859,2.630,0.000,255.000,0.000
5.002,3.127,0.000,255.000,0.000
4.281,1.760,0.000,255.000,0.000
3.033,2.199,0.000,255.000,0.000
3.247,1.962,0.000,255.000,0.000
3.236,1.802,0.000,255.000,0.000
3.914,0.789,0.000,255.000,0.000
5.076,4.000,0.000,255.000,0.000
