xRGB,yRGB,R,G,B
18,8,17,71,63
3,1,23,115,164
9,3,177,192,188
18,11,246,94,243
1,11,158,19,41
12,5,0,155,163
15,3,152,31,149
16,11,152,40,26
10,16,60,203,192
17,7,13,181,15
19,9,98,187,12
8,1,41,20,194
14,18,38,139,8
1,12,57,88,37
6,1,198,173,158
15,8,234,76,175
9,10,244,148,119
14,5,53,144,94
0,10,157,244,109
6,5,151,43,17
2,9,172,248,76
18,2,29,151,235
11,18,140,164,39
19,13,193,223,27
12,9,171,150,238
8,5,253,227,3
13,16,44,106,240
1,15,114,231,173
14,17,198,243,182
11,1,31,210,4
13,2,147,53,231
16,12,84,96,90
7,1,240,127,44
8,5,240,222,26
6,16,1,16,13
17,4,247,157,46
8,9,249,58,176
7,4,233,63,113
19,0,185,1,9
4,0,21,7,130
7,19,205,44,54
4,0,6,40,148
16,14,21,214,43
7,14,199,110,69
5,5,13,193,212
5,13,159,117,21
0,17,68,201,169
11,5,67,170,176
4,16,203,128,250
5,7,165,84,58
8,13,93,159,95
8,4,28,126,240
10,17,30,98,93
12,2,130,195,182
9,8,24,101,84
15,11,42,158,139
16,19,186,129,206
11,1,49,213,0
16,7,76,49,194
4,16,188,124,247
17,8,87,144,238
2,10,91,73,200
2,16,18,69,69
15,12,233,115,113
19,12,225,190,8
4,1,38,191,95
6,0,117,21,208
11,7,207,216,137
7,4,213,87,111
5,10,162,162,120
7,7,158,177,66
10,7,207,200,95
9,8,34,102,62
4,13,138,106,174
11,1,45,221,28
1,17,62,159,217
4,17,89,82,225
0,8,141,192,173
14,4,66,244,6
4,15,41,189,30
11,11,79,171,126
13,15,203,39,247
6,13,182,10,172
17,8,99,149,226
17,6,111,216,24
4,0,32,21,165
2,10,94,62,181
8,5,236,210,30
12,18,245,9,209
19,17,52,250,91
6,16,15,1,0
16,14,28,231,50
0,7,230,172,226
13,7,221,49,197
10,19,138,9,82
6,1,211,165,166
2,7,202,87,193
11,9,156,162,134
2,9,175,251,60
9,18,196,174,199
3,2,7,93,227
3,17,85,148,3
0,13,25,211,164
16,17,59,121,47
3,16,197,156,19
12,8,143,19,171
10,0,56,158,97
19,2,60,20,47
12,1,88,38,85
10,6,203,178,58
3,9,240,240,3
2,16,13,56,92
2,10,97,78,171
9,0,75,216,133
7,6,227,27,20
0,13,34,219,168
3,1,22,120,147
13,15,191,57,221
15,8,215,62,164
18,4,139,28,228
6,16,16,11,13
3,5,186,245,104
0,11,201,73,146
15,9,45,17,115
2,2,240,54,124
0,11,213,53,130
18,18,79,31,0
3,12,139,212,244
4,9,115,239,184
8,9,236,62,173
8,1,38,15,211
12,16,64,97,125
12,6,129,101,198
2,10,82,65,171
2,3,203,89,52
11,3,133,80,94
5,15,49,193,130
12,5,4,145,115
5,6,91,222,48
6,18,252,28,254
13,6,186,118,121
9,17,131,84,223
7,11,150,66,125
4,5,189,165,111
6,16,43,14,12
3,16,198,173,10
16,7,64,71,178
3,2,33,87,229
13,12,31,72,133
5,0,144,197,59
10,8,151,12,99
10,15,0,251,119
19,9,95,196,28
10,0,46,163,89
2,11,154,226,174
18,11,203,86,228
18,0,45,68,18
14,11,151,218,180
7,6,219,12,47
2,2,235,7,107
11,17,131,101,21
12,0,217,208,169
9,10,248,161,152
2,9,167,254,53
4,11,109,251,40
8,7,118,201,73
18,1,23,185,121
7,13,99,99,192
18,15,112,33,87
16,18,85,52,182
4,0,5,23,134
8,9,251,12,191
3,12,124,228,240
12,10,181,152,93
18,18,106,46,2
12,18,237,24,223
11,4,142,194,132
16,4,92,56,185
15,5,116,51,111
19,17,23,253,82
2,10,90,80,179
11,16,213,242,252
3,9,222,220,21
18,6,102,241,131
8,1,13,11,198
7,6,237,11,5
6,3,44,48,148
4,3,8,213,123
14,1,52,117,205
6,10,53,156,155
3,3,105,99,79
17,7,56,152,19
4,10,172,89,36
4,2,220,63,12
10,17,27,104,118
8,6,103,92,55
9,16,116,35,122
7,4,233,75,88
17,7,17,154,1
15,7,171,174,131
