xRGB,yRGB,R,G,B
18.307,8.327,17.000,71.000,63.000
2.783,0.838,23.000,115.000,164.000
9.348,3.302,177.000,192.000,188.000
18.004,11.048,246.000,94.000,243.000
1.282,11.025,158.000,19.000,41.000
11.821,4.902,0.000,155.000,163.000
15.152,3.289,152.000,31.000,149.000
16.391,10.851,152.000,40.000,26.000
10.102,16.281,60.000,203.000,192.000
16.741,7.362,13.000,181.000,15.000
18.875,8.701,98.000,187.000,12.000
7.830,0.678,41.000,20.000,194.000
13.642,18.359,38.000,139.000,8.000
1.126,12.325,57.000,88.000,37.000
6.092,1.071,198.000,173.000,158.000
14.990,8.236,234.000,76.000,175.000
9.237,9.787,244.000,148.000,119.000
14.377,4.820,53.000,144.000,94.000
-0.319,10.134,157.000,244.000,109.000
5.941,4.760,151.000,43.000,17.000
1.852,8.895,172.000,248.000,76.000
18.261,2.169,29.000,151.000,235.000
11.361,18.125,140.000,164.000,39.000
18.917,13.195,193.000,223.000,27.000
11.720,9.215,171.000,150.000,238.000
7.977,5.306,253.000,227.000,3.000
13.206,15.784,44.000,106.000,240.000
0.822,15.259,114.000,231.000,173.000
13.907,16.847,198.000,243.000,182.000
10.631,1.243,31.000,210.000,4.000
12.825,1.848,147.000,53.000,231.000
16.176,12.100,84.000,96.000,90.000
7.314,0.863,240.000,127.000,44.000
7.744,5.219,240.000,222.000,26.000
5.861,16.145,1.000,16.000,13.000
16.685,4.033,247.000,157.000,46.000
8.209,9.337,249.000,58.000,176.000
7.027,4.020,233.000,63.000,113.000
18.675,-0.159,185.000,1.000,9.000
3.941,0.253,21.000,7.000,130.000
6.947,19.132,205.000,44.000,54.000
3.634,-0.287,6.000,40.000,148.000
16.327,14.179,21.000,214.000,43.000
6.997,14.225,199.000,110.000,69.000
4.686,4.815,13.000,193.000,212.000
5.105,12.879,159.000,117.000,21.000
-0.126,17.107,68.000,201.000,169.000
10.852,5.015,67.000,170.000,176.000
3.743,16.154,203.000,128.000,250.000
4.648,6.989,165.000,84.000,58.000
7.776,13.283,93.000,159.000,95.000
8.044,4.069,28.000,126.000,240.000
10.040,17.102,30.000,98.000,93.000
12.095,2.137,130.000,195.000,182.000
8.903,7.885,24.000,101.000,84.000
15.140,11.219,42.000,158.000,139.000
16.095,18.905,186.000,129.000,206.000
11.039,0.784,49.000,213.000,0.000
15.936,6.699,76.000,49.000,194.000
3.841,15.921,188.000,124.000,247.000
16.646,8.305,87.000,144.000,238.000
1.826,10.101,91.000,73.000,200.000
2.365,16.091,18.000,69.000,69.000
15.081,12.372,233.000,115.000,113.000
19.100,11.936,225.000,190.000,8.000
4.100,0.903,38.000,191.000,95.000
5.626,-0.374,117.000,21.000,208.000
11.090,6.781,207.000,216.000,137.000
6.801,4.290,213.000,87.000,111.000
5.333,10.348,162.000,162.000,120.000
7.274,6.920,158.000,177.000,66.000
9.619,6.698,207.000,200.000,95.000
9.289,8.239,34.000,102.000,62.000
3.812,12.824,138.000,106.000,174.000
11.147,0.640,45.000,221.000,28.000
0.630,16.998,62.000,159.000,217.000
3.635,17.191,89.000,82.000,225.000
-0.071,8.344,141.000,192.000,173.000
13.854,4.393,66.000,244.000,6.000
4.052,14.622,41.000,189.000,30.000
11.356,10.608,79.000,171.000,126.000
12.736,15.157,203.000,39.000,247.000
5.905,13.076,182.000,10.000,172.000
17.043,7.994,99.000,149.000,226.000
16.614,5.711,111.000,216.000,24.000
3.876,0.310,32.000,21.000,165.000
1.860,9.915,94.000,62.000,181.000
8.296,4.738,236.000,210.000,30.000
11.702,18.148,245.000,9.000,209.000
19.036,16.715,52.000,250.000,91.000
6.151,15.706,15.000,1.000,0.000
15.973,13.707,28.000,231.000,50.000
0.147,6.953,230.000,172.000,226.000
13.340,7.137,221.000,49.000,197.000
9.972,19.280,138.000,9.000,82.000
6.395,1.191,211.000,165.000,166.000
2.176,6.753,202.000,87.000,193.000
10.749,9.304,156.000,162.000,134.000
2.233,8.967,175.000,251.000,60.000
9.399,17.763,196.000,174.000,199.000
2.953,2.205,7.000,93.000,227.000
2.989,17.389,85.000,148.000,3.000
0.255,12.688,25.000,211.000,164.000
16.328,17.339,59.000,121.000,47.000
3.386,16.150,197.000,156.000,19.000
11.741,8.223,143.000,19.000,171.000
9.946,-0.356,56.000,158.000,97.000
18.743,2.128,60.000,20.000,47.000
12.082,0.907,88.000,38.000,85.000
9.784,6.100,203.000,178.000,58.000
2.883,8.849,240.000,240.000,3.000
1.716,15.985,13.000,56.000,92.000
1.725,10.098,97.000,78.000,171.000
9.106,-0.094,75.000,216.000,133.000
7.315,6.152,227.000,27.000,20.000
