xRGB,yRGB,R,G,B
11,2,17,71,63
0,8,23,115,164
13,4,177,192,188
7,10,246,94,243
6,5,158,19,41
16,3,0,155,163
18,9,152,31,149
1,0,152,40,26
6,5,60,203,192
6,14,13,181,15
10,16,98,187,12
12,10,41,20,194
13,10,38,139,8
16,13,57,88,37
18,5,198,173,158
9,18,234,76,175
8,3,244,148,119
15,1,53,144,94
8,4,157,244,109
3,1,151,43,17
7,16,172,248,76
8,15,29,151,235
16,19,140,164,39
6,9,193,223,27
0,14,171,150,238
0,3,253,227,3
15,15,44,106,240
16,1,114,231,173
12,3,198,243,182
7,3,31,210,4
1,13,147,53,231
6,13,84,96,90
12,6,240,127,44
15,0,240,222,26
15,8,1,16,13
7,8,247,157,46
19,12,249,58,176
7,2,233,63,113
8,14,185,1,9
2,10,21,7,130
15,7,205,44,54
10,13,6,40,148
11,13,21,214,43
6,13,199,110,69
18,16,13,193,212
15,4,159,117,21
3,5,68,201,169
2,14,67,170,176
19,1,203,128,250
0,0,165,84,58
19,3,93,159,95
8,19,28,126,240
0,3,30,98,93
14,10,130,195,182
16,7,24,101,84
13,7,42,158,139
17,18,186,129,206
1,15,49,213,0
6,12,76,49,194
7,5,188,124,247
7,11,87,144,238
2,18,91,73,200
2,3,18,69,69
10,13,233,115,113
2,10,225,190,8
11,17,38,191,95
1,17,117,21,208
1,18,207,216,137
13,4,213,87,111
14,8,162,162,120
4,18,158,177,66
6,5,207,200,95
0,10,34,102,62
14,6,138,106,174
7,10,45,221,28
7,6,62,159,217
17,8,89,82,225
5,7,141,192,173
19,11,66,244,6
12,18,41,189,30
0,2,79,171,126
19,16,203,39,247
17,1,182,10,172
10,11,99,149,226
9,7,111,216,24
10,9,32,21,165
9,2,94,62,181
7,3,236,210,30
17,15,245,9,209
9,2,52,250,91
16,3,15,1,0
18,8,28,231,50
5,18,230,172,226
18,1,221,49,197
5,18,138,9,82
9,2,211,165,166
16,13,202,87,193
17,18,156,162,134
5,14,175,251,60
13,17,196,174,199
1,19,7,93,227
3,12,85,148,3
1,12,25,211,164
11,12,59,121,47
2,16,197,156,19
10,2,143,19,171
16,12,56,158,97
5,18,60,20,47
16,3,88,38,85
17,17,203,178,58
17,9,240,240,3
9,2,13,56,92
17,0,97,78,171
9,17,75,216,133
1,2,227,27,20
8,16,34,219,168
13,12,22,120,147
0,18,191,57,221
4,7,215,62,164
15,14,139,28,228
14,7,16,11,13
5,9,186,245,104
5,18,201,73,146
0,16,45,17,115
4,17,240,54,124
0,0,213,53,130
1,7,79,31,0
3,11,139,212,244
17,6,115,239,184
8,10,236,62,173
14,18,38,15,211
9,2,64,97,125
15,3,129,101,198
18,5,82,65,171
0,1,203,89,52
5,3,133,80,94
9,19,49,193,130
13,2,4,145,115
2,2,91,222,48
9,1,252,28,254
14,6,186,118,121
6,2,131,84,223
9,10,150,66,125
1,17,189,165,111
17,18,43,14,12
10,10,198,173,10
11,16,64,71,178
14,14,33,87,229
11,0,31,72,133
3,10,144,197,59
12,17,151,12,99
9,17,0,251,119
14,19,95,196,28
16,13,46,163,89
1,3,154,226,174
5,9,203,86,228
13,12,45,68,18
4,10,151,218,180
7,3,219,12,47
11,8,235,7,107
3,0,131,101,21
7,19,217,208,169
12,0,248,161,152
13,6,167,254,53
12,7,109,251,40
6,8,118,201,73
6,18,23,185,121
17,5,99,99,192
13,0,112,33,87
10,4,85,52,182
16,3,5,23,134
6,2,251,12,191
5,4,124,228,240
9,7,181,152,93
0,13,106,46,2
17,19,237,24,223
9,11,142,194,132
15,4,92,56,185
16,0,116,51,111
17,7,23,253,82
10,19,90,80,179
18,5,213,242,252
7,15,222,220,21
15,4,102,241,131
17,2,13,11,198
8,14,237,11,5
11,14,44,48,148
13,1,8,213,123
3,13,52,117,205
19,19,53,156,155
13,4,105,99,79
8,12,56,152,19
1,3,172,89,36
14,17,220,63,12
14,17,27,104,118
3,5,103,92,55
0,1,116,35,122
6,11,233,75,88
4,6,17,154,1
9,19,171,174,131
